,sID,FEATURE,LAT,LON,AZ1,SL2,AZ2,DIST,BEARING,BETA1,BETA2,SL1,TILT
86,87,channel,16.52180226,-132.6489523,176.7020497,6.9275832,164.1637421,3018.3449184314604,127.87745529553476,48.82459440446522,36.28628680446523,5.441837051343026,-6.3507813640750435
87,88,channel,16.37181042,-132.7346254,156.5790747,7.7706409,153.3712616,3163.125010098832,138.29715941241528,18.281915287584734,15.074102187584709,6.436072406618234,-2.838393624667683
88,89,channel,16.32621346,-132.7160874,156.5790747,8.2671537,160.5401459,3319.4401608839235,139.30188904138294,17.27718565861709,21.238256858617078,10.100806686546445,3.371628541516536
89,90,channel,16.47210549,-132.7874173,155.4013348,2.6360323,154.6315002,2796.143003776918,136.26867887050338,19.132655929496618,18.362821329496626,2.533636124812153,-0.6607285641540273
90,91,channel,16.71030871,-132.8964608,169.8615624,5.5692229,159.3483429,1989.5228966222048,127.47792286433402,42.38363953566599,31.870420035665994,4.359580456440601,-6.149522334830763
91,92,channel,16.66183508,-132.8884598,169.8615624,7.7687073,173.0717773,2113.469417218314,130.59399783409336,39.26756456590663,42.47777946590666,8.292194049082138,1.6998567702777905
92,93,channel,16.61448104,-132.8774019,169.8615624,10.9041872,165.5838623,2247.6104555086526,133.11398416655038,36.74757823344963,32.469878133449626,9.772868286841858,-2.6622916085308113
93,94,channel,16.56703985,-132.8620656,169.8615624,8.7373314,161.4716797,2395.6257048926736,135.11562125494706,34.745941145052946,26.35605844505296,6.7954322219021615,-5.7417456430883895
94,95,channel,16.80000108,-132.8894777,154.3711155,1.2298026,162.8930511,1840.0283880235572,119.49688603787058,34.87422946212942,43.396165062129434,1.4777633711691227,4.730653231716001
95,96,channel,16.75313261,-132.8769137,154.3711155,5.0176039,159.8092499,1957.5496042494467,122.96868700957685,31.402428490423144,36.840562890423136,5.776380336066702,3.4249163221525762
96,97,channel,16.70646848,-132.8622088,154.3711155,5.3811207,162.4616241,2086.6624100803715,125.9101739216973,28.460941578302712,36.55145017830271,6.730234973068514,5.295095252099443
97,98,channel,16.48825682,-133.0186728,161.6805378,9.0836086,167.7136536,2292.134599796504,148.95462912491467,12.72590867508531,18.759024475085287,13.325110636080208,5.404080078063073
98,99,channel,16.44652975,-132.9915774,161.6805378,1.9207736,122.4542618,2459.0603980013216,148.903283903761,12.777253896238998,26.449022103761,3.870503970272216,11.537385765684267
99,100,channel,16.32178529,-133.0411368,160.4223328,6.2188935,155.5965118,2761.5787843531903,156.31903045624082,4.103302343759153,0.7225186562408332,1.0938600781506573,-3.3703587607024947
100,101,channel,16.41501495,-133.0893775,195.1150584,6.3643889,207.3244476,2408.5333809884282,156.70376501155445,38.41129338844557,50.62068258844557,7.92693298770182,5.8499066944442895
101,102,channel,16.59834743,-133.1946953,184.4881117,6.1812773,185.9532776,1702.3970920651561,158.9815847272867,25.506526972713278,26.971692872713287,6.511906847145278,1.0992954848004857
102,103,channel,16.46600546,-133.3258043,184.7672587,8.5063295,184.476181,2046.6972363846194,174.8160470574442,9.951211642555826,9.66013394255581,8.258166522084476,-0.27873987568935554
103,104,channel,16.54463174,-133.3007579,192.7548866,6.0357938,187.8704987,1791.2211096431654,171.4519848033012,21.30290179669879,16.418513896698812,4.692498314457241,-4.18298272244718
104,105,channel,16.30617405,-133.4311291,177.9153413,6.4363236,182.0926819,2585.910202670495,183.4815414681531,5.566200168153107,1.3888595681530993,1.6051707047317478,-4.151666339021699
105,106,channel,16.36874501,-133.4216878,179.1802067,6.3313923,172.7772827,2371.9967409707633,183.05417517334334,3.8739684733433126,10.276892473343368,16.930072451639976,6.250308856707592
106,107,channel,16.55140054,-133.3616843,182.001512,8.3532419,182.6370392,1749.6230782484324,177.75837926485022,4.243132735149744,4.878659935149754,9.612598470930742,0.6295247327742732
107,108,channel,16.56999129,-133.4097325,181.6058367,5.3792605,192.1329041,1687.4220731001237,182.97452684686021,1.3686901468603039,9.15837725313979,38.65953562247844,7.675269424248112
108,109,channel,16.56514819,-133.474976,168.9421731,5.162612,173.1904602,1727.7966809342074,189.97847166775477,21.036298567754788,16.788011467754792,4.152036168839125,-3.635691360091336
109,110,channel,16.47756679,-133.7794759,179.1224452,6.5607119,173.3334198,2379.124673393544,212.7777006834785,33.65525548347851,39.44428088347852,7.526388577469453,3.4339374308444164
110,111,channel,16.54530628,-133.7971973,189.009733,7.508194,194.1183472,2223.6740460679075,217.2359986545875,28.226265654587483,23.1176514545875,6.227311129016558,-3.8760411483918737
111,112,channel,16.36495336,-133.574276,187.5256305,7.6300135,184.0804138,2461.6149041407753,194.63117355985926,7.105543059859265,10.550759759859261,11.334973975505632,3.3247619888407893
112,113,channel,16.31750666,-133.5743033,187.5256305,6.7157545,179.2692108,2617.8655371413583,193.7422213451353,6.216590845135325,14.473010545135304,15.658502055761925,7.851822215462338
113,114,channel,16.86581267,-131.978971,134.6546429,7.953629,134.0958099,4610.54299096269,98.69172020834704,35.96292269165298,35.40408969165298,7.845652991940281,-0.33867915184198694
114,115,channel,16.83221758,-131.9427324,134.6546429,7.0379438,133.0455322,4745.181423890129,99.84883437237748,34.805808527622524,33.19669782762253,6.74951409267033,-1.0162207177249734
115,116,channel,16.6972186,-132.4164774,159.8325257,8.5242033,147.959671,3381.038120913513,111.89310764058617,47.93941805941383,36.06656335941382,6.750070597207242,-6.105181659598898
116,117,channel,16.65795233,-132.2727123,139.9856741,8.390255,134.9039917,3865.0647430935355,111.18083285762336,28.804841242376646,23.723158842376655,6.998093764125031,-3.810252600459851
117,118,channel,16.69632784,-132.5179807,168.4944512,5.654459,171.0290222,3078.329070299954,114.20676860255611,54.287682597443876,56.82225359744391,5.829284381404627,0.8534042144981058
118,119,channel,16.64924393,-132.5114364,168.4944512,6.0001111,167.1932068,3166.2870830209677,116.69037907047615,51.804072129523846,50.50282772952387,5.89096746674125,-0.5080468822578794
119,120,channel,16.67156032,-132.5876754,161.8151518,6.2261009,181.3958435,2910.940503182197,117.52771933120563,44.287432468794364,63.86812416879436,8.015558410979201,6.991955297252339
120,121,channel,16.65962306,-132.6773152,173.3806372,5.5399184,178.2535858,2676.4587427171687,121.15825331565121,52.222383884348794,57.09533248434879,5.885813912675177,1.693353304008788
121,122,channel,16.6247454,-132.82172,160.3568825,10.1233168,158.9387054,2360.7709927270444,129.50393967507344,30.8529428249266,29.43476572492656,9.696631332646394,-0.9794078251925455
122,123,channel,16.77587629,-132.6151031,165.2116546,4.0791769,160.2640686,2682.0342732697804,111.67904828980342,53.5326063101966,48.585020310196576,3.803545074318063,-1.9384457988202115
123,124,channel,16.69080588,-132.9587621,173.1548379,6.6842537,167.9448242,1877.220901608549,132.8351314659499,40.31970643405009,35.10969273405009,5.938576125969407,-2.999882630331598
124,125,channel,16.78829538,-132.9330834,159.9359174,4.4837575,158.8554382,1739.3266158590006,122.92527847908576,37.01063892091423,35.93015972091424,4.370580399786434,-0.642043465806708
125,126,channel,16.8427008,-132.893796,122.7237024,5.2849364,127.0671387,1760.4555948865654,115.60974545698654,7.1139569430134575,11.45739324301346,8.495895582642346,4.175195448445531
126,127,channel,16.72287734,-133.0565539,142.6095788,5.3582859,150.9794769,1575.7731579460424,137.76993244356458,4.83964635643544,13.209544456435415,14.651177476064124,8.049349453347059
127,128,channel,16.72481755,-133.0476959,175.9028704,6.7492638,165.2879333,1590.466352086698,136.84438652785104,39.058483872148976,28.44354677214895,5.096589234721914,-6.74745942376175
128,129,channel,16.74320754,-133.0367076,181.5952835,4.5070605,184.3378143,1570.8538977240678,134.33776769150697,47.257515808493004,50.00004660849301,4.701621636996478,1.1597484533304652
129,130,channel,16.90781869,-133.235576,190.9968435,4.6633348,187.7738037,719.575920857969,138.3873870786856,52.60945642131441,49.38641662131439,4.455140645066734,-1.2649119324128506
130,131,channel,16.70169375,-133.3543096,186.2518486,1.2731074,176.1665192,1241.3035159468816,175.73213991310712,10.519708686892864,0.43437928689247024,0.052860757070517614,-9.912378879276073
131,132,channel,16.65247767,-133.3541451,186.2518486,3.2335234,183.540451,1408.0778342428114,176.21662009575343,10.035228504246549,7.323830904246555,2.3649351128046847,-2.620028239132491
132,133,channel,16.81072269,-133.4026668,173.0090863,2.9704268,157.5878296,869.9774141791872,184.2599183726785,11.250832072678508,26.672088772678517,6.847389515421894,13.13455612746126
133,134,channel,16.74452292,-133.7929446,166.8127156,3.8865428,166.1241302,1723.3246374212408,230.60285889879026,63.79014329879027,64.47872869879028,3.9092903385920676,0.16600004140139646
134,135,channel,16.6645444,-133.7202959,193.5304931,5.2647533,192.3641815,1750.4328593048417,218.75947109431556,25.228977994315546,26.395289594315557,5.491775560430837,0.8826008100679701
135,136,channel,16.76590656,-133.7061301,183.2035112,3.5539339,168.623291,1464.2118565153494,225.80887453956697,42.605363339566956,57.18558353956697,4.413761231507702,5.948876053958067
136,137,channel,16.84004962,-133.7541116,170.9097227,2.19347,189.5697784,1430.071597486626,237.46529251633515,66.55556981633515,47.89551411633517,1.7736720524749803,-5.962130962420517
